IDerDate,IDerID,Box #,SampDate,Sample #,SiteID,ScientificName,Fish_length,Fish_weight,Name,Count,Tin (g) ,Tin + Sample (g) ,Sample (g),LifeStage,Weight Method
05-Dec-17,Crow,1529,2012-09-04,1,GRFGR1,Salmo trutta,,,Diptera,NA,1.3314,1.3346,0.0032,NA,Blotted
05-Dec-17,Crow,1529,2012-09-04,1,GRFGR1,Salmo trutta,,,Organic,NA,1.3318,1.3407,0.0089,NA,Blotted
05-Dec-17,Crow,1529,2012-09-04,1,GRFGR1,Salmo trutta,,,Amphipoda,NA,1.3319,1.4359,0.104,NA,Blotted
05-Dec-17,Crow,1529,2012-09-04,1,GRFGR1,Salmo trutta,,,Ephemeroptera,NA,,,,NA,Blotted
18-May-18,Crow,1529,2012-09-04,2,GRFGR1,Salmo trutta,,,Diptera,NA,1.3283,1.3311,0.0028,NA,Blotted
18-May-18,Crow,1529,2012-09-04,2,GRFGR1,Salmo trutta,,,Trichoptera,NA,1.3284,1.3609,0.0325,NA,Blotted
18-May-18,Crow,1529,2012-09-04,2,GRFGR1,Salmo trutta,,,Organic,NA,1.3273,1.4708,0.1435,NA,Blotted
18-May-18,Crow,1529,2012-09-04,2,GRFGR1,Salmo trutta,,,Amphipoda,NA,1.3284,1.886,0.5576,NA,Blotted
18-May-18,Crow,1529,2012-09-04,2,GRFGR1,Salmo trutta,,,Cottidae,NA,1.3284,4.7673,3.4389,NA,Blotted
17-Nov-17,Crow,1529,2012-09-04,3,GRFGR1,Salmo trutta,,,Diptera,NA,1.3241,1.3247,0.0006,NA,Blotted
17-Nov-17,Crow,1529,2012-09-04,3,GRFGR1,Salmo trutta,,,Ephemeroptera,NA,1.3234,1.3317,0.0083,NA,Blotted
17-Nov-17,Crow,1529,2012-09-04,3,GRFGR1,Salmo trutta,,,Amphipoda,NA,1.3229,1.3884,0.0655,NA,Blotted
17-Nov-17,Crow,1529,2012-09-04,3,GRFGR1,Salmo trutta,,,Organic,NA,1.3246,1.4958,0.1712,NA,Blotted
17-Nov-17,Crow,1529,2012-09-04,3,GRFGR1,Salmo trutta,,,Diplostraca,NA,,,,NA,Blotted
17-Nov-17,Crow,1529,2012-09-04,3,GRFGR1,Salmo trutta,,,Oligochaeta,NA,,,,NA,Blotted
08-Aug-17,Crow,1529,2012-09-04,4,GRFGR1,Oncorhynchus mykiss,,,Trichoptera,NA,1.3123,1.3135,0.0012,NA,Blotted
08-Aug-17,Crow,1529,2012-09-04,4,GRFGR1,Oncorhynchus mykiss,,,Gastropoda,NA,1.3123,1.3283,0.016,NA,Blotted
08-Aug-17,Crow,1529,2012-09-04,4,GRFGR1,Oncorhynchus mykiss,,,Ephemeroptera,NA,1.3123,1.3309,0.0186,NA,Blotted
08-Aug-17,Crow,1529,2012-09-04,4,GRFGR1,Oncorhynchus mykiss,,,Diptera,NA,1.3128,1.3357,0.0229,NA,Blotted
